Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_gps
04226;UVERNET FOURS;04400;PRA LOUP;UVERNET FOURS;44.319111881, 6.670341203
04227;VACHERES;04110;;VACHERES;43.94663916, 5.635067193
04230;VALENSOLE;04210;;VALENSOLE;43.838188342, 5.942121424
04235;VERDACHES;04140;;VERDACHES;44.267823479, 6.343515773
04236;VERGONS;04170;;VERGONS;43.915155907, 6.604225196
04240;VILLARS COLMARS;04370;;VILLARS COLMARS;44.198029594, 6.569234846
04242;VILLENEUVE;04180;;VILLENEUVE;43.895601657, 5.857633726
04244;VOLONNE;04290;;VOLONNE;44.123767029, 6.034302161
05001;ABRIES RISTOLAS;05460;ABRIES;ABRIES RISTOLAS;44.774752599, 6.967890004
05012;BARATIER;05200;;BARATIER;44.504348928, 6.50566626
05013;BARCILLONNETTE;05110;;BARCILLONNETTE;44.430111214, 5.905139193
05014;BARRET SUR MEOUGE;05300;;BARRET SUR MEOUGE;44.264869824, 5.728391419
05021;LE BERSAC;05700;;LE BERSAC;44.405901165, 5.753709761
05024;VALDOULE;05150;BRUIS;VALDOULE;44.459637603, 5.521814225
05024;VALDOULE;05150;STE MARIE;VALDOULE;44.459637603, 5.521814225
05037;CHATEAUVIEUX;05000;;CHATEAUVIEUX;44.484012446, 6.051588244
05045;CROTS;05200;;CROTS;44.4962384, 6.461900221
05051;ETOILE ST CYRICE;05700;;ETOILE ST CYRICE;44.321081872, 5.643692946
05053;GARDE COLOMBE;05300;EYGUIANS;GARDE COLOMBE;44.365830958, 5.782197824
05056;FOREST ST JULIEN;05260;;FOREST ST JULIEN;44.629750934, 6.141418976
05070;LARAGNE MONTEGLIN;05300;;LARAGNE MONTEGLIN;44.334172613, 5.816091277
05071;LARDIER ET VALENCA;05110;;LARDIER ET VALENCA;44.437077507, 5.973296701
05090;LA MOTTE EN CHAMPSAUR;05500;;LA MOTTE EN CHAMPSAUR;44.740818336, 6.128836095
05102;LA PIARRE;05700;;LA PIARRE;44.478428598, 5.648731725
05106;PRUNIERES;05230;;PRUNIERES;44.543444774, 6.336974173
05107;PUY ST ANDRE;05100;;PUY ST ANDRE;44.891257564, 6.566326407
05110;PUY ST VINCENT;05290;;PUY ST VINCENT;44.814289823, 6.464203869
05113;RAMBAUD;05000;;RAMBAUD;44.546852116, 6.131984678
05115;REMOLLON;05190;;REMOLLON;44.471613471, 6.159540038
05116;REOTIER;05600;;REOTIER;44.681335205, 6.564118714
05117;RIBEYRET;05150;;RIBEYRET;44.410499973, 5.55778133
05119;RISOUL;05600;;RISOUL;44.624541358, 6.623016283
05130;ST APOLLINAIRE;05160;;ST APOLLINAIRE;44.557252776, 6.355089557
05140;ST ETIENNE LE LAUS;05130;;ST ETIENNE LE LAUS;44.507922275, 6.163314205
05147;ST JULIEN EN CHAMPSAUR;05500;;ST JULIEN EN CHAMPSAUR;44.668325095, 6.12919955
05163;LE SAUZE DU LAC;05160;;LE SAUZE DU LAC;44.48587715, 6.323359626
05166;SERRES;05700;;SERRES;44.421324064, 5.71540376
05169;SORBIERS;05150;;SORBIERS;44.36226465, 5.573277674
05170;TALLARD;05130;;TALLARD;44.45907133, 6.044501043
05180;LES VIGNEAUX;05120;;LES VIGNEAUX;44.821555493, 6.537145563
06004;ANTIBES;06600;;ANTIBES;43.587761948, 7.105220285
06014;BENDEJUN;06390;;BENDEJUN;43.830449744, 7.284290916
06019;BLAUSASC;06440;;BLAUSASC;43.79408163, 7.360684718
06023;BREIL SUR ROYA;06540;;BREIL SUR ROYA;43.940231076, 7.503686305
06025;LE BROC;06510;;LE BROC;43.815169637, 7.15970157
06027;CAGNES SUR MER;06800;CROS DE CAGNES;CAGNES SUR MER;43.672201175, 7.152404366
06037;CAUSSOLS;06460;;CAUSSOLS;43.737294101, 6.90330973
06044;LA COLLE SUR LOUP;06480;;LA COLLE SUR LOUP;43.686966601, 7.097388889
06050;COURSEGOULES;06140;;COURSEGOULES;43.791274853, 7.035702338
06055;DURANUS;06670;;DURANUS;43.893637625, 7.279665671
06057;L ESCARENE;06440;;L ESCARENE;43.834043043, 7.366037805
06066;GILETTE;06830;;GILETTE;43.848176433, 7.161118516
06071;GUILLAUMES;06470;;GUILLAUMES;44.088264348, 6.875178465
06074;LANTOSQUE;06450;;LANTOSQUE;43.970853507, 7.304565835
06081;LE MAS;06910;;LE MAS;43.83679644, 6.858400301
06083;MENTON;06500;;MENTON;43.791862947, 7.493340539
06085;MOUGINS;06250;;MOUGINS;43.596083559, 7.001095284
06086;MOULINET;06380;;MOULINET;43.953755834, 7.413778164
06088;NICE;06000;;NICE;43.712363989, 7.237937874
06088;NICE;06100;;NICE;43.712363989, 7.237937874
06093;LA PENNE;06260;;LA PENNE;43.925215318, 6.94190649
06101;RIGAUD;06260;;RIGAUD;43.993354962, 6.974785142
06103;ROQUEBILLIERE;06450;;ROQUEBILLIERE;44.027164485, 7.292560994
06105;ROQUEFORT LES PINS;06330;;ROQUEFORT LES PINS;43.67427715, 7.052968624
06108;LA ROQUETTE SUR SIAGNE;06550;;LA ROQUETTE SUR SIAGNE;43.585405273, 6.94985328
06112;LE ROURET;06650;;LE ROURET;43.679598067, 7.010240499
06118;ST CEZAIRE SUR SIAGNE;06530;;ST CEZAIRE SUR SIAGNE;43.659765012, 6.803003486
06127;ST MARTIN VESUBIE;06450;LE BOREON;ST MARTIN VESUBIE;44.102178266, 7.302778686
06138;THEOULE SUR MER;06590;MIRAMAR;THEOULE SUR MER;43.498528479, 6.92979396
06141;TOUDON;06830;;TOUDON;43.891965757, 7.108033544
06147;TOURRETTE LEVENS;06690;;TOURRETTE LEVENS;43.786501099, 7.272671335
06150;LA TURBIE;06320;;LA TURBIE;43.745399443, 7.397714435
07001;ACCONS;07160;;ACCONS;44.888443768, 4.392010929
07002;AILHON;07200;;AILHON;44.597864208, 4.332925449
07003;AIZAC;07530;;AIZAC;44.719957976, 4.330312142
07014;ARLEBOSC;07410;;ARLEBOSC;45.040518879, 4.628651947
07019;AUBENAS;07200;;AUBENAS;44.610241548, 4.395935019
07020;AUBIGNAS;07400;;AUBIGNAS;44.585295618, 4.633292283
07024;BANNE;07460;;BANNE;44.36127618, 4.151088119
07031;BERRIAS ET CASTELJAU;07460;;BERRIAS ET CASTELJAU;44.382858497, 4.207624181
07031;BERRIAS ET CASTELJAU;07460;CASTELJAU;BERRIAS ET CASTELJAU;44.382858497, 4.207624181
07049;LE CHAMBON;07160;;LE CHAMBON;44.829599551, 4.298592618
07052;CHAMPIS;07440;;CHAMPIS;44.955777511, 4.752439676
07059;CHATEAUBOURG;07130;;CHATEAUBOURG;44.986879772, 4.838348977
07063;CHEMINAS;07300;;CHEMINAS;45.130463521, 4.740743586
07066;CHOMERAC;07210;;CHOMERAC;44.710034481, 4.669963002
07067;COLOMBIER LE CARDINAL;07430;;COLOMBIER LE CARDINAL;45.264656091, 4.745795228
07068;COLOMBIER LE JEUNE;07270;;COLOMBIER LE JEUNE;45.011317498, 4.715103731
07069;COLOMBIER LE VIEUX;07410;;COLOMBIER LE VIEUX;45.059134338, 4.699261751
07076;CRUAS;07350;;CRUAS;44.656490332, 4.756095925
07079;DESAIGNES;07570;;DESAIGNES;44.992407529, 4.500888591
07084;ECLASSAN;07370;;ECLASSAN;45.160476332, 4.74827962
07090;FLAVIAC;07000;;FLAVIAC;44.750664359, 4.65997562
07094;GILHAC ET BRUZAC;07800;;GILHAC ET BRUZAC;44.863202966, 4.745000834
07098;GOURDON;07000;;GOURDON;44.729580239, 4.454810316
07101;GROSPIERRES;07120;;GROSPIERRES;44.393197817, 4.28640669
07103;ST JULIEN D INTRES;07310;ST JULIEN BOUTIERES;ST JULIEN D INTRES;44.977820295, 4.34516355
07123;LACHAPELLE SOUS CHANEAC;07310;;LACHAPELLE SOUS CHANEAC;44.954502976, 4.31885878
07126;LAGORCE;07150;;LAGORCE;44.444868859, 4.431666974
07127;LALEVADE D ARDECHE;07380;;LALEVADE D ARDECHE;44.652277007, 4.314627031
07129;LAMASTRE;07270;;LAMASTRE;44.982403424, 4.590643351
07131;LANAS;07200;;LANAS;44.537023105, 4.384105519
07137;LAVILLATTE;07660;;LAVILLATTE;44.741731553, 3.951667311
07138;LAVILLEDIEU;07170;;LAVILLEDIEU;44.58200991, 4.448347688
07140;LEMPS;07610;;LEMPS;45.096780946, 4.778442564
07142;LESPERON;07660;;LESPERON;44.734358745, 3.894966336
07145;LUSSAS;07170;;LUSSAS;44.619277692, 4.466052275
07147;MALARCE SUR LA THINES;07140;THINES;MALARCE SUR LA THINES;44.47842111, 4.050331709
07148;MALBOSC;07140;;MALBOSC;44.349800615, 4.072715613
07152;MAUVES;07300;;MAUVES;45.028897315, 4.81870465
07160;MONESTIER;07690;;MONESTIER;45.200204987, 4.50445631
07172;PEAUGRES;07340;;PEAUGRES;45.285657211, 4.727959825
07177;PLATS;07300;;PLATS;45.015560639, 4.780380125
07179;POURCHERES;07000;;POURCHERES;44.739406927, 4.50434883
07183;PRADONS;07120;;PRADONS;44.472944949, 4.375930314
07188;QUINTENAS;07290;;QUINTENAS;45.192333469, 4.694548939
07192;ROCHEPAULE;07320;;ROCHEPAULE;45.085473639, 4.458971898
07194;ROCHESSAUVE;07210;;ROCHESSAUVE;44.680745588, 4.610799813
07197;ROIFFIEUX;07100;;ROIFFIEUX;45.219327345, 4.64968221
07198;ROMPON;07800;;ROMPON;44.779024709, 4.730260474
07204;ST AGREVE;07320;LE POUZAT;ST AGREVE;45.005421601, 4.413100047
07205;ST ALBAN D AY;07790;;ST ALBAN D AY;45.186244279, 4.631215246
07209;ST ANDEOL DE FOURCHADES;07160;;ST ANDEOL DE FOURCHADES;44.844720573, 4.287806192
07232;ST ETIENNE DE LUGDARES;07590;;ST ETIENNE DE LUGDARES;44.64742294, 3.973075962
07241;ST GERMAIN;07170;;ST GERMAIN;44.553431519, 4.448582198
07255;ST JULIEN EN ST ALBAN;07000;;ST JULIEN EN ST ALBAN;44.758254218, 4.693271935
07257;ST JULIEN LE ROUX;07240;;ST JULIEN LE ROUX;44.867801092, 4.675545912
07260;ST LAGER BRESSAC;07210;;ST LAGER BRESSAC;44.692035656, 4.715685175
07261;ST LAURENT DU PAPE;07800;;ST LAURENT DU PAPE;44.82329143, 4.745777124
07263;ST LAURENT SOUS COIRON;07170;;ST LAURENT SOUS COIRON;44.664414441, 4.484743139
07264;ST MARCEL D ARDECHE;07700;;ST MARCEL D ARDECHE;44.330006429, 4.605999329
07270;ST MARTIN SUR LAVEZON;07400;;ST MARTIN SUR LAVEZON;44.634786512, 4.656611525
07273;ST MAURICE D IBIE;07170;;ST MAURICE D IBIE;44.48390513, 4.482658219
07275;ST MELANY;07260;;ST MELANY;44.538840401, 4.12920091
07290;ST PRIX;07270;;ST PRIX;44.947183115, 4.500882887
07291;ST REMEZE;07700;;ST REMEZE;44.377839423, 4.496084086
07296;ST SERNIN;07200;;ST SERNIN;44.576308278, 4.382400106
07298;ST SYMPHORIEN SOUS CHOMERAC;07210;;ST SYMPHORIEN SOUS CHOMERAC;44.728515124, 4.706226274
07304;SALAVAS;07150;;SALAVAS;44.388184946, 4.366882302
07305;LES SALELLES;07140;;LES SALELLES;44.436083578, 4.098851871
07324;TOURNON SUR RHONE;07300;;TOURNON SUR RHONE;45.053769465, 4.815244503
07343;VINEZAC;07110;;VINEZAC;44.546616599, 4.332433589
07347;VOCANCE;07690;;VOCANCE;45.194739746, 4.563980845
07349;LA VOULTE SUR RHONE;07800;;LA VOULTE SUR RHONE;44.801676324, 4.780311008
08011;ANCHAMPS;08500;;ANCHAMPS;49.925011416, 4.665777837
08017;APREMONT;08250;;APREMONT;49.259389836, 4.96788292
08019;LES GRANDES ARMOISES;08390;;LES GRANDES ARMOISES;49.529315833, 4.899010974
08022;ARREUX;08090;;ARREUX;49.826390951, 4.661253104
08025;ATTIGNY;08130;;ATTIGNY;49.476266168, 4.585200636
08027;AUBONCOURT VAUZELLES;08270;;AUBONCOURT VAUZELLES;49.556761097, 4.482408475
08039;AVAUX;08190;;AVAUX;49.465888218, 4.068729619
08065;BIEVRES;08370;;BIEVRES;49.55781163, 5.278033299
08078;BOURG FIDELE;08230;;BOURG FIDELE;49.889083798, 4.554831961
08082;BRECY BRIERES;08400;;BRECY BRIERES;49.331905569, 4.755194621
08086;BRIQUENAY;08240;;BRIQUENAY;49.403827406, 4.869113614
08089;BUZANCY;08240;SIVRY LES BUZANCY;BUZANCY;49.418397773, 4.973837126
08102;CHAPPES;08220;;CHAPPES;49.60753439, 4.279545642
08103;CHARBOGNE;08130;;CHARBOGNE;49.506558111, 4.590034895
08115;CHEMERY CHEHERY;08350;CHEHERY;CHEMERY CHEHERY;49.617410686, 4.869503044
08116;BAIRON ET SES ENVIRONS;08390;LOUVERGNY;BAIRON ET SES ENVIRONS;49.508821336, 4.756360615
08117;CHESNOIS AUBONCOURT;08270;;CHESNOIS AUBONCOURT;49.561359411, 4.566876248
08123;CHUFFILLY ROCHE;08130;;CHUFFILLY ROCHE;49.450767895, 4.621905274
08126;CONDE LES HERPY;08360;;CONDE LES HERPY;49.542244703, 4.198234267
08131;CORNAY;08250;;CORNAY;49.298705813, 4.93291855
08132;CORNY MACHEROMENIL;08270;;CORNY MACHEROMENIL;49.582258473, 4.45392879
08137;DAMOUZY;08090;;DAMOUZY;49.80743751, 4.682499013
08141;DOMMERY;08460;;DOMMERY;49.680296655, 4.481837721
08145;DOUZY;08140;;DOUZY;49.663170003, 5.04152484
08151;ECORDAL;08130;;ECORDAL;49.534690171, 4.587800835
08153;ESCOMBRES ET LE CHESNOIS;08110;;ESCOMBRES ET LE CHESNOIS;49.69785143, 5.126139225
08156;ETEIGNIERES;08260;;ETEIGNIERES;49.891106608, 4.403818314
08159;EUILLY ET LOMBUT;08210;;EUILLY ET LOMBUT;49.628923747, 5.113577303
08161;EXERMONT;08250;;EXERMONT;49.29490647, 5.021560092
08162;FAGNON;08090;;FAGNON;49.732804898, 4.619220606
08163;FAISSAULT;08270;;FAISSAULT;49.609203832, 4.505556806
08167;LA FEREE;08290;;LA FEREE;49.759038236, 4.304287443
08171;FLEVILLE;08250;;FLEVILLE;49.308478775, 4.981687806
08173;FLIZE;08160;BALAIVES ET BUTZ;FLIZE;49.669128822, 4.741989381
08176;FOSSE;08240;;FOSSE;49.449776874, 5.005214244
08180;LA FRANCHEVILLE;08000;;LA FRANCHEVILLE;49.725417695, 4.706031037
08193;GIVRY;08130;;GIVRY;49.489234199, 4.531244017
08196;GRANDCHAMP;08270;;GRANDCHAMP;49.652322543, 4.406946213
08198;GRANDPRE;08250;;GRANDPRE;49.349582076, 4.850769735
08201;GRUYERES;08430;;GRUYERES;49.710020718, 4.604458742
08202;GUE D HOSSUS;08230;;GUE D HOSSUS;49.95325401, 4.538462616
08204;GUINCOURT;08130;;GUINCOURT;49.556995789, 4.627591202
08206;HAM LES MOINES;08090;;HAM LES MOINES;49.794839498, 4.587812784
08211;HARAUCOURT;08450;;HARAUCOURT;49.624326734, 4.953397325
08218;LES HAUTES RIVIERES;08800;;LES HAUTES RIVIERES;49.909021936, 4.84766011
08220;HAUVINE;08310;;HAUVINE;49.316129149, 4.411207688
08228;LA HORGNE;08430;;LA HORGNE;49.623685143, 4.677176538
08233;IMECOURT;08240;;IMECOURT;49.370907903, 4.974151355
08243;LALOBBE;08460;;LALOBBE;49.66998485, 4.369335771
08256;LIRY;08400;;LIRY;49.305070393, 4.643372016
08257;LOGNY BOGNY;08150;;LOGNY BOGNY;49.775418338, 4.387730795
08278;MARQUIGNY;08390;;MARQUIGNY;49.549016291, 4.705341342
08283;MAZERNY;08430;;MAZERNY;49.610939083, 4.618426054
08305;MONTIGNY SUR VENCE;08430;;MONTIGNY SUR VENCE;49.645998479, 4.612982544
08311;MOUZON;08210;;MOUZON;49.597000227, 5.073947647
08322;NEUVILLE LES THIS;08090;;NEUVILLE LES THIS;49.732426439, 4.589562437
08324;NEUVIZY;08430;;NEUVIZY;49.626844953, 4.539404537
08325;NOIRVAL;08400;;NOIRVAL;49.458283227, 4.794707725
08327;NOUVION SUR MEUSE;08160;;NOUVION SUR MEUSE;49.709002313, 4.797384129
08334;OMICOURT;08450;;OMICOURT;49.629609565, 4.826074189
08335;OMONT;08430;;OMONT;49.593783563, 4.739960737
08339;PERTHES;08300;;PERTHES;49.448816727, 4.355566118
08346;PRIX LES MEZIERES;08000;;PRIX LES MEZIERES;49.748524526, 4.685763617
08354;RAUCOURT ET FLABA;08450;;RAUCOURT ET FLABA;49.58906419, 4.961678293
08361;RENWEZ;08150;;RENWEZ;49.849335003, 4.605098104
08366;ROCQUIGNY;08220;MAINBRESSY;ROCQUIGNY;49.699994089, 4.247565319
08374;LA SABOTTERIE;08130;;LA SABOTTERIE;49.545979374, 4.669644698
08376;SAILLY;08110;;SAILLY;49.599977735, 5.172880268
08377;ST AIGNAN;08350;;ST AIGNAN;49.655216002, 4.851971901
08380;ST FERGEUX;08360;CHAUDION;ST FERGEUX;49.573230304, 4.201099291
08386;ST LOUP EN CHAMPAGNE;08300;;ST LOUP EN CHAMPAGNE;49.452824263, 4.215374031
08394;ST PIERREMONT;08240;;ST PIERREMONT;49.488825047, 4.945217923
08403;SAULT LES RETHEL;08300;;SAULT LES RETHEL;49.487506119, 4.357362295
08409;SEDAN;08200;;SEDAN;49.696818253, 4.929625969
