Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_gps
01364;ST JEAN SUR REYSSOUZE;01560;;ST JEAN SUR REYSSOUZE;46.397230407, 5.063110246
01366;STE JULIE;01150;;STE JULIE;45.881929237, 5.284256844
01371;ST MARCEL;01390;;ST MARCEL;45.948490368, 4.989610452
01372;ST MARTIN DE BAVEL;01510;;ST MARTIN DE BAVEL;45.848154791, 5.679072745
01393;SANDRANS;01400;;SANDRANS;46.065529744, 4.982157044
01401;SERGY;01630;;SERGY;46.263126375, 5.988920778
01402;SERMOYER;01190;;SERMOYER;46.498451286, 4.977943541
01403;SERRIERES DE BRIORD;01470;;SERRIERES DE BRIORD;45.813182663, 5.441558147
01405;SERVAS;01960;;SERVAS;46.139240323, 5.179306262
01408;SIMANDRE SUR SURAN;01250;;SIMANDRE SUR SURAN;46.233965118, 5.422597476
01411;SOUCLIN;01150;;SOUCLIN;45.878018555, 5.430669842
01416;TENAY;01230;;TENAY;45.922821474, 5.514615073
01419;THOIRY;01710;;THOIRY;46.243643952, 5.965281658
01423;TOUSSIEUX;01600;;TOUSSIEUX;45.96023469, 4.829116506
01426;VAL REVERMONT;01370;TREFFORT CUISIAT;VAL REVERMONT;46.285726208, 5.363443289
01435;VERSONNEX;01210;;VERSONNEX;46.300064513, 6.100716829
01437;VESCOURS;01560;;VESCOURS;46.474718732, 5.02614741
01446;VILLENEUVE;01480;;VILLENEUVE;46.031517691, 4.851344312
01447;VILLEREVERSURE;01250;;VILLEREVERSURE;46.192385749, 5.394699049
01450;VILLIEU LOYES MOLLON;01800;LOYES;VILLIEU LOYES MOLLON;45.932316137, 5.229523775
02005;AGUILCOURT;02190;;AGUILCOURT;49.393733209, 3.967807801
02008;AIZY JOUY;02370;;AIZY JOUY;49.438697879, 3.51124666
02015;ANCIENVILLE;02600;;ANCIENVILLE;49.218878777, 3.208246989
02018;ANIZY LE GRAND;02320;FAUCOUCOURT;ANIZY LE GRAND;49.516096173, 3.453032228
02019;ANNOIS;02480;;ANNOIS;49.719521853, 3.176029474
02021;ARCHON;02360;;ARCHON;49.74412009, 4.119783314
02022;ARCY STE RESTITUE;02130;BRANGES;ARCY STE RESTITUE;49.25492425, 3.478630764
02023;ARMENTIERES SUR OURCQ;02210;;ARMENTIERES SUR OURCQ;49.174033511, 3.387020839
02033;AUBIGNY EN LAONNOIS;02820;;AUBIGNY EN LAONNOIS;49.496989712, 3.792304044
02042;AZY SUR MARNE;02400;;AZY SUR MARNE;49.004386609, 3.359999375
02055;BEAUME;02500;;BEAUME;49.820841965, 4.151946912
02062;BELLEAU;02400;;BELLEAU;49.083202748, 3.29982845
02067;BERGUES SUR SAMBRE;02450;;BERGUES SUR SAMBRE;50.029607785, 3.711923338
