Code service sages|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|13/01/2021|Vente|88685,91||||B224|LES ROUTES|1340|SAINT-DIDIER-D AUSSIAT|01|346||AH|38||||||||||||0||||||T||3486
|||||||000001|13/01/2021|Vente|88685,91||||B157|MARE DES LORIERS|1340|SAINT-DIDIER-D AUSSIAT|01|346||AS|164||||||||||||0||||||T||3258
|||||||000001|13/01/2021|Vente|88685,91||||B031|BOIS ROUSSET|1340|SAINT-DIDIER-D AUSSIAT|01|346||AS|198||||||||||||0||||||T||1706
|||||||000001|13/01/2021|Vente|88685,91||||B031|BOIS ROUSSET|1340|SAINT-DIDIER-D AUSSIAT|01|346||AS|199||||||||||||0||||||T||1772
|||||||000001|13/01/2021|Vente|88685,91||||B031|BOIS ROUSSET|1340|SAINT-DIDIER-D AUSSIAT|01|346||AS|200||||||||||||0||||||T||3460
|||||||000001|13/01/2021|Vente|88685,91||||B030|CRET DES SORDIERS|1380|SAINT-GENIS-SUR-MENTHON|01|355||B|669||||||||||||0||||||T||1120
|||||||000001|13/01/2021|Vente|88685,91||||B030|CRET DES SORDIERS|1380|SAINT-GENIS-SUR-MENTHON|01|355||B|670||||||||||||0||||||T||4270
|||||||000001|13/01/2021|Vente|88685,91||||B003|BOIS GUIGNON|1340|SAINT-SULPICE|01|387||A|95||||||||||||0||||||BT||1325
|||||||000001|13/01/2021|Vente|88685,91||||B004|BOIS MARGOT|1340|SAINT-SULPICE|01|387||A|260||||||||||||0||||||T||3880
|||||||000001|13/01/2021|Vente|88685,91||||B004|BOIS MARGOT|1340|SAINT-SULPICE|01|387||A|261||||||||||||0||||||BT||1540
|||||||000001|13/01/2021|Vente|88685,91||||B004|BOIS MARGOT|1340|SAINT-SULPICE|01|387||A|263||||||||||||0||||||BT||2368
|||||||000001|13/01/2021|Vente|88685,91||||B004|BOIS MARGOT|1340|SAINT-SULPICE|01|387||A|270||||||||||||0||||||P||10362
|||||||000001|13/01/2021|Vente|88685,91||||B004|BOIS MARGOT|1340|SAINT-SULPICE|01|387||A|271||||||||||||0||||||BT||3703
|||||||000001|13/01/2021|Vente|88685,91||||B004|BOIS MARGOT|1340|SAINT-SULPICE|01|387||A|277||||||||||||0||||||T||2320
|||||||000001|13/01/2021|Vente|88685,91||||B004|BOIS MARGOT|1340|SAINT-SULPICE|01|387||A|278||||||||||||0||||||T||430
|||||||000001|13/01/2021|Vente|88685,91||||B009|CHAZEAUX|1340|SAINT-SULPICE|01|387||A|281||||||||||||0||||||T||6206
|||||||000001|13/01/2021|Vente|88685,91||||B009|CHAZEAUX|1340|SAINT-SULPICE|01|387||A|282||||||||||||0||||||T||4764
|||||||000001|13/01/2021|Vente|88685,91||||B009|CHAZEAUX|1340|SAINT-SULPICE|01|387||A|283||||||||||||0||||||T||2649
|||||||000001|13/01/2021|Vente|88685,91||||B009|CHAZEAUX|1340|SAINT-SULPICE|01|387||A|284||||||||||||0||||||T||2431
