Code service sages|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|04/01/2022|Vente|220000,00|1||CHE|0313|DE LA LAITERIE|1200|VALSERHONE|01|33||F|242||||||||||||0|1|Maison||170|6|S||147
|||||||000001|04/01/2022|Vente|220000,00||||B058|SUR MONT PELAZ|1200|VALSERHONE|01|33||F|719||||||||||||0||||||S||45
|||||||000001|12/01/2022|Vente|84300,00||||B011|GRAND ETANG DE SERVAS|1960|SERVAS|01|405||C|1045||||||||||||0||||||AB||638
|||||||000001|12/01/2022|Vente|84300,00||||B011|GRAND ETANG DE SERVAS|1960|SERVAS|01|405||C|1062||||||||||||0||||||AB||205
|||||||000001|19/01/2022|Vente|3200,00||||B121|LE ROCHER|1370|MEILLONNAS|01|241||ZD|76||||||||||||0||||||P||1320
|||||||000001|19/01/2022|Vente|3200,00||||B095|LA PLANTEE|1370|MEILLONNAS|01|241||ZD|123||||||||||||0||||||BT||3810
|||||||000001|19/01/2022|Vente|3200,00||||B010|BOIS DES MAVAUVRES|1370|MEILLONNAS|01|241||ZM|57||||||||||||0||||||BS||2848
|||||||000001|07/01/2022|Vente|100000,00|2||RUE|0394|JEAN MACE|1500|AMBERIEU-EN-BUGEY|01|4||AN|491||9|10,64|||||||||1|3|Dépendance||0|0|||
|||||||000001|07/01/2022|Vente|100000,00|2||RUE|0394|JEAN MACE|1500|AMBERIEU-EN-BUGEY|01|4||AN|491||5|58,33|||||||||1|3|Dépendance||0|0|||
|||||||000001|07/01/2022|Vente|100000,00|2||RUE|0394|JEAN MACE|1500|AMBERIEU-EN-BUGEY|01|4||AN|491||1||14||5|58,33|||||3|3|Dépendance||0|0|||
|||||||000001|07/01/2022|Vente|100000,00|2||RUE|0394|JEAN MACE|1500|AMBERIEU-EN-BUGEY|01|4||AN|491||1||14||5|58,33|||||3|3|Dépendance||0|0|||
|||||||000001|07/01/2022|Vente|100000,00|2||RUE|0394|JEAN MACE|1500|AMBERIEU-EN-BUGEY|01|4||AN|491||1||14||5|58,33|||||3|2|Appartement||57|3|||
|||||||000001|06/01/2022|Vente|305000,00||||B024|AU VILLAGE|1170|SEGNY|01|399||AK|362||||||||||||0||||||S||456
|||||||000001|06/01/2022|Vente|305000,00||||B024|AU VILLAGE|1170|SEGNY|01|399||AK|363||||||||||||0||||||S||74
